Time,trend
2019-01-13,1068623.3334786808
2019-01-14,1072985.5480703474
2019-01-15,1077729.2437646526
2019-01-16,1080298.528733542
2019-01-17,1081807.8268025694
2019-01-18,1081502.1370245141
2019-01-19,1078612.3579705555
2019-01-20,1077281.666280486
2019-01-21,1079883.3602031944
2019-01-22,1082078.3725681948
2019-01-23,1082955.24257
2019-01-24,1084081.3457968058
2019-01-25,1084436.9814965974
2019-01-26,1083416.6160243058
2019-01-27,1086882.074504375
2019-01-28,1095175.694206597
2019-01-29,1101069.900467847
2019-01-30,1104238.2590656248
2019-01-31,1106804.807737986
2019-02-01,1109006.8473275693
2019-02-02,1109574.7590439583
2019-02-03,1111216.2623783331
2019-02-04,1117237.1693737498
2019-02-05,1122987.861135208
2019-02-06,1126417.3018196526
2019-02-07,1129925.7040068056
2019-02-08,1132972.6898015277
2019-02-09,1134228.190119097
2019-02-10,1137957.4135052084
2019-02-11,1146346.9936715972
2019-02-12,1153298.9201847916
2019-02-13,1156851.1593853473
2019-02-14,1159306.7118000002
2019-02-15,1160532.0319911109
2019-02-16,1159434.175508611
2019-02-17,1160512.6117176388
2019-02-18,1166668.5048373612
2019-02-19,1172342.5801945138
2019-02-20,1173231.049587361
2019-02-21,1173450.6645713195
2019-02-22,1174812.070273472
2019-02-23,1174162.0748493748
2019-02-24,1176760.7058355552
2019-02-25,1185586.5282469443
2019-02-26,1193841.6701950696
2019-02-27,1198999.0612638195
2019-02-28,1203711.7495468056
2019-03-01,1207438.352997222
2019-03-02,1208231.3098211112
2019-03-03,1209189.07954375
2019-03-04,1213798.4171743053
2019-03-05,1218653.5512159723
2019-03-06,1221375.925765278
2019-03-07,1223289.5329506944
2019-03-08,1222316.7285917362
2019-03-09,1217619.1686936114
2019-03-10,1215732.3023158335
2019-03-11,1219004.60183625
2019-03-12,1221008.5766899304
2019-03-13,1220234.296516736
2019-03-14,1219557.7168643053
2019-03-15,1217862.41285
2019-03-16,1213350.5039679164
2019-03-17,1211356.1065935413
2019-03-18,1215367.2022402775
2019-03-19,1217851.7354749998
2019-03-20,1216900.6404195142
2019-03-21,1215376.7940279166
2019-03-22,1215713.8356348611
2019-03-23,1214199.2425968053
2019-03-24,1211385.6781745139
2019-03-25,1213473.4595083334
2019-03-26,1214799.4847034723
2019-03-27,1212635.042407639
2019-03-28,1209640.6224771529
2019-03-29,1205592.6270175
2019-03-30,1199015.4992170138
2019-03-31,1192245.861531389
2019-04-01,1191104.5829804167
2019-04-02,1189870.2361056246
2019-04-03,1186158.8188663889
2019-04-04,1184413.023921528
2019-04-05,1181493.9282354168
2019-04-06,1175889.7770975
2019-04-07,1173921.4850376388
2019-04-08,1178145.5071925696
2019-04-09,1180819.9257046531
2019-04-10,1180826.1753218754
2019-04-11,1181045.7235203472
2019-04-12,1179972.3550443056
2019-04-13,1175579.8480229166
2019-04-14,1173759.1226650695
2019-04-15,1177986.168037083
2019-04-16,1181031.278620486
2019-04-17,1180649.3305556944
2019-04-18,1181049.5463105557
2019-04-19,1181010.1481188196
2019-04-20,1178228.1210884028
2019-04-21,1177621.7498007638
2019-04-22,1182189.1722058333
2019-04-23,1186222.0918621528
2019-04-24,1186785.2826130555
2019-04-25,1186202.870621389
2019-04-26,1184359.5611686113
2019-04-27,1179670.823222361
2019-04-28,1177678.4856756944
2019-04-29,1181872.6296924306
2019-04-30,1187979.412614861
2019-05-01,1191803.0724929166
2019-05-02,1195912.9037100694
2019-05-03,1199338.1540701387
2019-05-04,1197690.3375649997
2019-05-05,1198327.049447639
2019-05-06,1204700.3106918056
2019-05-07,1209319.247415486
2019-05-08,1211262.2402413192
2019-05-09,1214035.648874375
2019-05-10,1215407.6956742364
2019-05-11,1213915.9404908335
2019-05-12,1215021.497498403
2019-05-13,1221829.4476534722
2019-05-14,1226958.869033264
2019-05-15,1228366.2838197225
2019-05-16,1229207.3780981945
2019-05-17,1228526.5687468054
2019-05-18,1224774.6215072223
2019-05-19,1223694.7621356945
2019-05-20,1228500.231863264
2019-05-21,1232127.8175515975
2019-05-22,1233109.0434116665
2019-05-23,1234487.4220158332
2019-05-24,1234729.2046158328
2019-05-25,1231931.227853333
2019-05-26,1231559.934433194
2019-05-27,1237017.9103828468
2019-05-28,1241416.8571759716
2019-05-29,1242531.2198305551
2019-05-30,1242300.3428638882
2019-05-31,1239567.2305666665
2019-06-01,1233648.7149666664
2019-06-02,1229462.5571085415
2019-06-03,1229364.6612594442
2019-06-04,1228695.359537222
2019-06-05,1226941.4429927773
2019-06-06,1226600.3414281942
2019-06-07,1225334.5797427774
2019-06-08,1220439.3393504166
2019-06-09,1217878.5883976389
2019-06-10,1221145.0151677774
2019-06-11,1223293.362512222
2019-06-12,1222714.2707983332
2019-06-13,1222660.1847490277
2019-06-14,1221670.1852809722
2019-06-15,1218404.6617545835
2019-06-16,1217937.5608719445
2019-06-17,1223165.598670556
2019-06-18,1227322.714010139
2019-06-19,1228796.3550018058
2019-06-20,1230194.4314254168
2019-06-21,1229378.8615969445
2019-06-22,1224609.4653108336
2019-06-23,1222116.5792963891
2019-06-24,1225682.604195139
