Time,resid
2018-02-08,-1617.8253756798877
2018-02-09,60486.0416392401
2018-02-10,-3100.2863990437545
2018-02-11,-107810.75187257477
2018-02-12,-15196.552203229483
2018-02-13,-7522.147632955348
2018-02-14,-8344.04620137276
2018-02-15,5403.603138364764
2018-02-16,-78498.53337800503
2018-02-17,-35186.028541273525
2018-02-18,-114784.05721760557
2018-02-19,-33479.34621765139
2018-02-20,-20623.982509900045
2018-02-21,-9356.513329900183
2018-02-22,5248.153190818994
2018-02-23,47100.60811113476
2018-02-24,-17764.55354227103
2018-02-25,-75819.8769623205
2018-02-26,-27912.400701875107
2018-02-27,-24554.936829424623
2018-02-28,-12221.252977312703
2018-03-01,21792.332069015276
2018-03-02,69550.97989894313
2018-03-03,12049.257753364813
2018-03-04,-109934.29179847699
2018-03-05,-16105.130535592798
2018-03-06,-2309.793968134407
2018-03-07,54724.90438657649
2018-03-08,4084.0572036008016
2018-03-09,40811.910785412176
2018-03-10,12273.429866937913
2018-03-11,-92538.8593873467
2018-03-12,19475.697309944073
2018-03-13,38331.66813125698
2018-03-14,41620.21653490629
2018-03-15,24106.261757273063
2018-03-16,33285.782597067446
2018-03-17,50767.86508438476
2018-03-18,-57213.290311939476
2018-03-19,43676.132335191236
2018-03-20,46430.44257790443
2018-03-21,54913.37553285484
2018-03-22,73673.81202404592
2018-03-23,131453.53789381764
2018-03-24,108011.521135412
2018-03-25,-17175.58503058891
2018-03-26,86256.11336560236
2018-03-27,108490.3241141906
2018-03-28,102389.59575100565
2018-03-29,92814.31652105521
2018-03-30,121851.64602065951
2018-03-31,77272.18679020293
2018-04-01,-30840.741042731064
2018-04-02,71631.18607557549
2018-04-03,118304.08924256563
2018-04-04,115372.23168016842
2018-04-05,113876.21176910675
2018-04-06,118150.77335734498
2018-04-07,102922.05770322392
2018-04-08,741.7252054574892
2018-04-09,96787.12665895426
2018-04-10,98267.1919565191
2018-04-11,103868.86110125664
2018-04-12,96164.88969757338
